rank,PC4,municipality,demand_dso_kwh,connections,demand_dso_gwh,li_feedin_kwh,li_feedin_gwh,st_feedin_kwh,st_feedin_gwh,solar_park_gwh,wind_gwh,biz_kwh,biz_gwh,total_feedin_gwh,total_supply_gwh,demand_total_gwh,net_balance_gwh,supply_ratio_pct,business_park,balance_class,slope_kwh_yr,growth_rate_pct_yr,significant,deficit_abs,demand_per_conn,has_biz_park,industrial_proxy_gwh,demand_synthetic_gwh,congestion_status,congestion_score,net_balance_p3_gwh,composite_siting,composite_siting_v1_proxy_excl
1,3771,Barneveld,34139427.0,5833.0,34.139427,7499997.0,7.499997,0.0,0.0,8.455,0.18,5345080.0,5.34508,7.499997,16.134997,39.484507,-23.34951,40.86412171741184,Harselaar Barneveld,high_deficit,-2666249.0,-7.81,False,23.34951,0.0067691594376821,1.0,233.16,267.299427,AMBER,0.5,-251.16443,0.75,0.6417
2,3901,Veenendaal,27537376.7,6974.0,27.5373767,0.0,0.0,2319830.25,2.31983025,0.0,0.0,2275260.0,2.27526,2.31983025,2.31983025,29.8126367,-27.49280645,7.781365577771925,Nijverkamp Veenendaal,severe_deficit,13919.0,0.05,False,27.49280645,0.0042748260252365,1.0,84.096,111.6333767,RED,1.0,-109.31354645,0.7176,0.9613
3,3903,Veenendaal,18739007.68,3924.0,18.73900768,0.0,0.0,3939378.6,3.9393786,0.0,0.0,2694990.0,2.69499,3.9393786,3.9393786,21.43399768,-17.49461908,18.37911274794913,De Compagnie Veenendaal,severe_deficit,22065.1,0.12,False,17.49461908,0.0054622827930682,1.0,46.03199999999999,64.77100768,RED,1.0,-60.83162908,0.621,0.7934
4,6718,Ede,23000647.0,4253.0,23.000647,6337845.0,6.337845,0.0,0.0,0.0,0.0,3096960.0,3.09696,6.337845,6.337845,26.097607,-19.759762,24.28515763916592,BT A12/Schampsteeg Ede,severe_deficit,-1676977.6,-7.29,False,19.759762,0.0061362819186456,1.0,27.66,50.660647,RED,1.0,-44.322802,0.5882,0.8314
5,6711,Ede,28723478.0,7312.0,28.723478,4187534.0,4.187534,0.0,0.0,0.0,0.0,1080610.0,1.08061,4.187534,4.187534,29.804088,-25.616554,14.050200093356322,,severe_deficit,-1534813.0,-5.34,False,25.616554,0.0040760514223194,0.0,0.0,29.804088,RED,1.0,-25.616554,0.5509,0.9298
6,6717,Ede,25954843.0,8763.0,25.954843,5981935.0,5.981935,0.0,0.0,0.0,0.0,1708360.0,1.70836,5.981935,5.981935,27.663203,-21.681268,21.624158995615947,,severe_deficit,-1870110.5,-7.21,False,21.681268,0.0031568187835216,0.0,0.0,27.663203,RED,1.0,-21.681268,0.5431,0.8637
7,3881,Ede,23583244.0,5115.0,23.583244,5035894.0,5.035894,0.0,0.0,0.0,0.0,2743230.0,2.74323,5.035894,5.035894,26.326474,-21.29058,19.1286307463734,,severe_deficit,-1020477.6,-4.33,False,21.29058,0.0051469157380254,0.0,0.0,26.326474,RED,1.0,-21.29058,0.5423,0.8571
8,6721,Veenendaal,26945228.0,6867.0,26.945228,7246713.0,7.246713,0.0,0.0,0.1335,0.0,808260.0,0.80826,7.246713,7.380212999999999,27.753488,-20.373275,26.592019712981656,,high_deficit,-1598679.3,-5.93,False,20.373275,0.0040415739041794,0.0,0.0,27.753488,RED,1.0,-20.373275000000003,0.5405,0.8417
9,6716,Ede,17528488.0,3804.0,17.528488,3751917.0,3.751917,0.0,0.0,0.0,0.0,2305550.0,2.30555,3.751917,3.751917,19.834038,-16.082121,18.91655647730432,,severe_deficit,-897508.3,-5.12,False,16.082121,0.0052139952681388,0.0,0.0,19.834038,RED,1.0,-16.082121,0.532,0.7696
10,3904,Veenendaal,21537502.88,6142.0,21.53750288,0.0,0.0,6260939.06,6.260939059999999,0.0,0.0,121510.0,0.12151,6.260939059999999,6.260939059999999,21.65901288,-15.39807382,28.906853210200406,,high_deficit,-87566.0,-0.41,False,15.39807382,0.0035263778704005,0.0,0.0,21.65901288,RED,1.0,-15.398073820000004,0.5306,0.7581
11,3841,Ede,15291968.0,3669.0,15.291968,1892378.0,1.892378,0.0,0.0,0.0,0.0,935410.0,0.93541,1.892378,1.892378,16.227378,-14.335,11.66163751161771,Harselaar (Ede side),severe_deficit,-757801.7,-4.96,False,14.335,0.0044228340147179,1.0,0.0,16.227378,RED,1.0,-14.335,0.5285,0.7403
12,6713,Ede,16003214.0,5203.0,16.003214,2879328.0,2.879328,0.0,0.0,0.0,0.0,207920.0,0.20792,2.879328,2.879328,16.211134,-13.331806,17.761422489012798,,severe_deficit,-765157.1,-4.78,False,13.331806,0.0031157282337113,0.0,0.0,16.211134,RED,1.0,-13.331806,0.5265,0.7234
13,3902,Veenendaal,16327768.57,4441.0,16.32776857,0.0,0.0,4003412.76,4.00341276,0.0,0.0,383960.0,0.38396,4.00341276,4.00341276,16.71172857,-12.708315809999998,23.955707174341693,,severe_deficit,-171942.8,-1.05,False,12.708315809999998,0.0037630552961044,0.0,0.0,16.71172857,RED,1.0,-12.708315809999998,0.5252,0.7129
14,3846,Ede,11458927.0,1674.0,11.458927,1634129.0,1.634129,0.0,0.0,0.0,0.0,2338450.0,2.33845,1.634129,1.634129,13.797377,-12.163248,11.843765666474145,,severe_deficit,-703977.2,-6.14,False,12.163248,0.008242160692951,0.0,0.0,13.797377,RED,1.0,-12.163248,0.5242,0.7038
