PC4,municipality,demand_dso_gwh,connections,feedin_pv_gwh,solar_park_gwh,wind_gwh,business_park,has_biz_park,biz_gwh,industrial_proxy_gwh,congestion_status,congestion_score,demand_synthetic_gwh,total_supply_gwh,net_balance_gwh,energy_deficit_score,grid_urgency_score,composite_siting
3771,Barneveld,34.139427,5833.0,8.95948,8.455,0.18,Harselaar Barneveld,1.0,5.34508,233.16,AMBER,0.5,267.299427,17.594479999999997,-249.70494699999998,1.0,0.5,0.75
3901,Veenendaal,0.0,0.0,0.0,0.0,0.0,Nijverkamp Veenendaal,1.0,2.27526,84.096,RED,1.0,84.096,0.0,-84.096,0.33678147353644544,1.0,0.6684
3903,Veenendaal,0.0,0.0,0.0,0.0,0.0,De Compagnie Veenendaal,1.0,2.69499,46.03199999999999,RED,1.0,46.03199999999999,0.0,-46.03199999999999,0.1843455668501433,1.0,0.5922
6718,Ede,23.000647,4253.0,7.505015,0.0,0.0,BT A12/Schampsteeg Ede,1.0,3.09696,27.66,RED,1.0,50.660647,7.505015,-43.155632,0.17282649990911073,1.0,0.5864
6711,Ede,28.723478,7312.0,4.913375,0.0,0.0,,0.0,1.08061,0.0,RED,1.0,29.804088,4.913375,-24.890712999999998,0.09968049611768405,1.0,0.5498
6717,Ede,25.954843,8763.0,7.081069,0.0,0.0,,0.0,1.70836,0.0,RED,1.0,27.663203,7.081069,-20.582134,0.08242581593707873,1.0,0.5412
3881,Ede,23.583244,5115.0,6.140472,0.0,0.0,,0.0,2.74323,0.0,RED,1.0,26.326474,6.140472,-20.186002000000002,0.08083941564842127,1.0,0.5404
6721,Veenendaal,26.945228,6867.0,8.511636,0.1335,0.0,,0.0,0.80826,0.0,RED,1.0,27.753488,8.645135999999999,-19.108352000000004,0.07652372221524312,1.0,0.5383
6716,Ede,17.528488,3804.0,4.46143,0.0,0.0,,0.0,2.30555,0.0,RED,1.0,19.834038,4.46143,-15.372608,0.061563089496981416,1.0,0.5308
3841,Ede,15.291968,3669.0,2.210255,0.0,0.0,Harselaar (Ede side),1.0,0.93541,0.0,RED,1.0,16.227378,2.210255,-14.017123000000002,0.05613474289718418,1.0,0.5281
6713,Ede,16.003214,5203.0,3.420872,0.0,0.0,,0.0,0.20792,0.0,RED,1.0,16.211134,3.420872,-12.790262000000002,0.05122150022922855,1.0,0.5256
3846,Ede,11.458927,1674.0,2.420732,0.0,0.0,,0.0,2.33845,0.0,RED,1.0,13.797377,2.420732,-11.376645,0.04556035087282432,1.0,0.5228
6708,Ede,13.645522,4975.0,4.504923,0.0,0.0,,0.0,0.62539,0.0,RED,1.0,14.270912,4.504923,-9.765989,0.03911011422613105,1.0,0.5196
3844,Ede,12.298294,4179.0,3.525364,0.0,0.0,,0.0,0.38731,0.0,RED,1.0,12.685604,3.525364,-9.16024,0.03668425519819598,1.0,0.5183
6701,Ede,9.059874,1849.0,0.727731,0.0,0.0,,0.0,0.64977,0.0,RED,1.0,9.709644,0.727731,-8.981913,0.035970104348793705,1.0,0.518
3891,Ede,10.682766,2762.0,3.112946,0.0,0.0,De Vallei Ede,1.0,0.76664,0.0,RED,1.0,11.449406000000002,3.112946,-8.336460000000002,0.03338524166283339,1.0,0.5167
6714,Ede,10.080054,3638.0,1.890959,0.0,0.0,,0.0,0.04585,0.0,RED,1.0,10.125904,1.890959,-8.234945,0.032978701859679216,1.0,0.5165
3842,Ede,10.167906,3339.0,2.397766,0.0,0.0,,0.0,0.29038,0.0,RED,1.0,10.458286000000001,2.397766,-8.06052,0.03228017745279192,1.0,0.5161
6732,Veenendaal,9.209961,1308.0,2.763127,0.0,0.0,,0.0,1.2895,0.0,RED,1.0,10.499461,2.763127,-7.736334,0.03098190121159274,1.0,0.5155
3843,Ede,9.248097,2913.0,2.410935,0.0,0.0,,0.0,0.33324,0.0,RED,1.0,9.581337,2.410935,-7.170401999999999,0.028715498375769064,1.0,0.5144
6715,Ede,9.641543,3113.0,2.699553,0.0,0.0,,0.0,0.0959,0.0,RED,1.0,9.737443,2.699553,-7.037890000000001,0.028184824067582454,1.0,0.5141
3893,Ede,9.451715,2489.0,3.909701,0.0,0.0,,0.0,0.11155,0.0,RED,1.0,9.563265,3.909701,-5.653563999999999,0.02264097715292761,1.0,0.5113
6731,Veenendaal,7.098205,1014.0,1.924183,0.0,0.0,,0.0,0.4285,0.0,RED,1.0,7.526705,1.924183,-5.602522,0.022436567906682282,1.0,0.5112
3849,Ede,7.84575,1479.0,2.431681,0.0,0.0,,0.0,0.13821,0.0,RED,1.0,7.98396,2.431681,-5.5522789999999995,0.022235358436851472,1.0,0.5111
6707,Ede,6.721811,2685.0,1.36274,0.0,0.0,,0.0,0.14327,0.0,RED,1.0,6.865081,1.36274,-5.5023409999999995,0.02203537040858065,1.0,0.511
3907,Veenendaal,10.014118,2737.0,4.990998,0.0,0.0,,0.0,0.06376,0.0,RED,1.0,10.077878,4.990998,-5.08688,0.020371562762831447,1.0,0.5102
6702,Ede,6.028157,1645.0,1.368293,0.0,0.0,,0.0,0.43827,0.0,RED,1.0,6.466427,1.368293,-5.098134,0.020416631954031733,1.0,0.5102
6712,Ede,7.214165,2168.0,2.267118,0.0,0.0,,0.0,0.11357,0.0,RED,1.0,7.3277350000000006,2.267118,-5.060617000000001,0.020266386632700556,1.0,0.5101
6733,Veenendaal,6.86125,1074.0,2.183876,0.0,0.0,,0.0,0.30633,0.0,RED,1.0,7.16758,2.183876,-4.9837039999999995,0.019958371109083394,1.0,0.51
3899,Ede,2.004615,140.0,0.41926,0.0,0.0,,0.0,3.06896,0.0,RED,1.0,5.073575,0.41926,-4.6543149999999995,0.018639258276288775,1.0,0.5093
3892,Ede,8.00287,2252.0,3.42673,0.0,0.0,,0.0,0.07298,0.0,RED,1.0,8.075849999999999,3.42673,-4.649119999999999,0.018618453722504744,1.0,0.5093
3894,Ede,8.955886,2525.0,4.410761,0.0,0.0,,0.0,0.00212,0.0,RED,1.0,8.958006,4.410761,-4.547244999999999,0.018210472217837156,1.0,0.5091
6706,Ede,5.675617,2347.0,1.67989,0.0,0.0,,0.0,0.03812,0.0,RED,1.0,5.713737,1.67989,-4.033847,0.016154453680086684,1.0,0.5081
3848,Ede,5.587662,1698.0,1.928809,0.0,0.0,,0.0,0.06093,0.0,RED,1.0,5.648592,1.928809,-3.7197829999999996,0.014896713279773348,1.0,0.5074
6709,Ede,5.57736,1196.0,2.688909,0.0,0.0,,0.0,0.35358,0.0,RED,1.0,5.93094,2.688909,-3.2420309999999994,0.012983447220210659,1.0,0.5065
6703,Ede,4.256002,1230.0,1.337913,0.0,0.0,,0.0,0.01541,0.0,RED,1.0,4.271412,1.337913,-2.933499,0.01174786096648698,1.0,0.5059
3821,Ede,0.671756,105.0,0.127815,0.0,0.0,,0.0,2.18617,0.0,RED,1.0,2.857926,0.127815,-2.730111,0.010933347668118086,1.0,0.5055
3896,Ede,3.110215,118.0,1.741329,0.0,0.0,,0.0,1.11275,0.0,RED,1.0,4.222965,1.741329,-2.4816360000000004,0.009938273269371795,1.0,0.505
6705,Ede,3.115654,553.0,0.809447,0.0,0.0,,0.0,0.07449,0.0,RED,1.0,3.190144,0.809447,-2.380697,0.009534040188639115,1.0,0.5048
3898,Ede,2.936564,324.0,1.195381,0.0,0.0,Industriegebied Nijkerk,1.0,0.22208,0.0,RED,1.0,3.1586440000000002,1.195381,-1.9632630000000002,0.007862331217651048,1.0,0.5039
3847,Ede,1.795344,415.0,0.225021,0.0,0.0,,0.0,0.12671,0.0,RED,1.0,1.9220540000000002,0.225021,-1.6970330000000002,0.006796152901207842,1.0,0.5034
6704,Ede,1.317608,269.0,0.397822,0.0,0.0,,0.0,0.03435,0.0,RED,1.0,1.351958,0.397822,-0.954136,0.0038210536533743564,1.0,0.5019
3815,Ede,0.07076,12.0,0.000371,0.0,0.0,,0.0,0.80671,0.0,RED,1.0,0.8774700000000001,0.000371,-0.8770990000000001,0.003512541543680351,1.0,0.5018
3895,Ede,0.402277,19.0,0.05044,0.0,0.0,,0.0,0.0462,0.0,RED,1.0,0.448477,0.05044,-0.39803700000000003,0.0015940292924993594,1.0,0.5008
3902,Veenendaal,0.0,0.0,0.0,0.0,0.0,,0.0,0.38396,0.0,RED,1.0,0.38396,0.0,-0.38396,0.0015376547585979547,1.0,0.5008
3829,Ede,0.196391,23.0,0.01945,0.0,0.0,,0.0,0.12896,0.0,RED,1.0,0.325351,0.01945,-0.305901,0.0012250498184963874,1.0,0.5006
3826,Ede,0.058045,10.0,0.022731,0.0,0.0,,0.0,0.09149,0.0,RED,1.0,0.149535,0.022731,-0.126804,0.0005078153297459502,1.0,0.5003
3904,Veenendaal,0.0,0.0,0.0,0.0,0.0,,0.0,0.12151,0.0,RED,1.0,0.12151,0.0,-0.12151,0.00048661430804572734,1.0,0.5002
3906,Veenendaal,0.0,0.0,0.0,0.0,0.0,,0.0,0.0063,0.0,RED,1.0,0.0063,0.0,-0.0063,2.5229776484964876e-05,1.0,0.5
3772,Barneveld,30.572945,8364.0,11.111407,0.0,0.0,,0.0,0.89619,0.0,AMBER,0.5,31.469135,11.111407,-20.357728,0.0815271312986843,0.5,0.2908
3781,Barneveld,24.532811,5500.0,8.708777,0.0,0.0,,0.0,1.2447,0.0,AMBER,0.5,25.777510999999997,8.708777,-17.068734,0.0683556101113207,0.5,0.2842
3776,Barneveld,5.125461,782.0,1.798365,0.0,0.0,,0.0,0.47457,0.0,AMBER,0.5,5.6000309999999995,1.798365,-3.8016659999999995,0.015224632293728646,0.5,0.2576
3784,Barneveld,4.305706,619.0,1.613313,0.0,0.0,,0.0,0.22563,0.0,AMBER,0.5,4.531336,1.613313,-2.918023,0.011685883820315343,0.5,0.2558
3785,Barneveld,3.53521,645.0,1.402125,0.0,0.0,,0.0,0.06514,0.0,AMBER,0.5,3.60035,1.402125,-2.198225,0.008803289748200303,0.5,0.2544
3794,Barneveld,1.723026,224.0,0.669733,0.0,0.0,,0.0,0.07954,0.0,AMBER,0.5,1.802566,0.669733,-1.1328329999999998,0.004536686251554319,0.5,0.2523
3775,Barneveld,1.111869,156.0,0.37446,0.0,0.0,,0.0,0.0337,0.0,AMBER,0.5,1.145569,0.37446,-0.771109,0.003088080589769013,0.5,0.2515
3792,Barneveld,0.530205,90.0,0.215555,0.0,0.0,,0.0,0.00448,0.0,AMBER,0.5,0.5346850000000001,0.215555,-0.3191300000000001,0.0012780283443883877,0.5,0.2506
