PC4,municipality,congestion_status,congestion_score
3771,Barneveld,AMBER,0.5
3901,Veenendaal,RED,1.0
3903,Veenendaal,RED,1.0
6718,Ede,RED,1.0
6711,Ede,RED,1.0
6717,Ede,RED,1.0
3881,Ede,RED,1.0
6721,Veenendaal,RED,1.0
6716,Ede,RED,1.0
3904,Veenendaal,RED,1.0
3841,Ede,RED,1.0
6713,Ede,RED,1.0
3902,Veenendaal,RED,1.0
3846,Ede,RED,1.0
6708,Ede,RED,1.0
3844,Ede,RED,1.0
6701,Ede,RED,1.0
3891,Ede,RED,1.0
6714,Ede,RED,1.0
3842,Ede,RED,1.0
6732,Veenendaal,RED,1.0
3843,Ede,RED,1.0
6715,Ede,RED,1.0
3907,Veenendaal,RED,1.0
3893,Ede,RED,1.0
3849,Ede,RED,1.0
6731,Veenendaal,RED,1.0
6707,Ede,RED,1.0
6712,Ede,RED,1.0
3894,Ede,RED,1.0
6702,Ede,RED,1.0
3906,Veenendaal,RED,1.0
6733,Veenendaal,RED,1.0
3892,Ede,RED,1.0
3899,Ede,RED,1.0
6706,Ede,RED,1.0
3848,Ede,RED,1.0
6709,Ede,RED,1.0
6703,Ede,RED,1.0
3821,Ede,RED,1.0
3896,Ede,RED,1.0
6705,Ede,RED,1.0
3898,Ede,RED,1.0
3847,Ede,RED,1.0
6704,Ede,RED,1.0
3815,Ede,RED,1.0
3895,Ede,RED,1.0
3829,Ede,RED,1.0
3826,Ede,RED,1.0
3772,Barneveld,AMBER,0.5
3781,Barneveld,AMBER,0.5
3776,Barneveld,AMBER,0.5
3784,Barneveld,AMBER,0.5
3785,Barneveld,AMBER,0.5
3794,Barneveld,AMBER,0.5
3775,Barneveld,AMBER,0.5
3792,Barneveld,AMBER,0.5
3861,Nijkerk,GREEN,0.2
3882,Rhenen,GREEN,0.2
3851,Wageningen,GREEN,0.2
3911,Rhenen,GREEN,0.2
6741,Wageningen,GREEN,0.2
3871,Nijkerk,GREEN,0.2
3853,Wageningen,GREEN,0.2
3852,Wageningen,GREEN,0.2
3863,Nijkerk,GREEN,0.2
3864,Nijkerk,GREEN,0.2
6744,Rhenen,GREEN,0.2
3886,Rhenen,GREEN,0.2
6745,Rhenen,GREEN,0.2
3912,Rhenen,GREEN,0.2
3937,Renswoude,GREEN,0.2
3727,Renswoude,GREEN,0.2
