PC4,municipality,business_park,has_biz_park,biz_gwh,industrial_proxy_gwh
3771,Barneveld,Harselaar Barneveld,1.0,5.34508,233.16
3901,Veenendaal,Nijverkamp Veenendaal,1.0,2.27526,84.096
3903,Veenendaal,De Compagnie Veenendaal,1.0,2.69499,46.03199999999999
6718,Ede,BT A12/Schampsteeg Ede,1.0,3.09696,27.66
6711,Ede,,0.0,1.08061,0.0
6717,Ede,,0.0,1.70836,0.0
3881,Ede,,0.0,2.74323,0.0
6721,Veenendaal,,0.0,0.80826,0.0
6716,Ede,,0.0,2.30555,0.0
3904,Veenendaal,,0.0,0.12151,0.0
3841,Ede,Harselaar (Ede side),1.0,0.93541,0.0
6713,Ede,,0.0,0.20792,0.0
3902,Veenendaal,,0.0,0.38396,0.0
3846,Ede,,0.0,2.33845,0.0
6708,Ede,,0.0,0.62539,0.0
3844,Ede,,0.0,0.38731,0.0
6701,Ede,,0.0,0.64977,0.0
3891,Ede,De Vallei Ede,1.0,0.76664,0.0
6714,Ede,,0.0,0.04585,0.0
3842,Ede,,0.0,0.29038,0.0
6732,Veenendaal,,0.0,1.2895,0.0
3843,Ede,,0.0,0.33324,0.0
6715,Ede,,0.0,0.0959,0.0
3907,Veenendaal,,0.0,0.06376,0.0
3893,Ede,,0.0,0.11155,0.0
3849,Ede,,0.0,0.13821,0.0
6731,Veenendaal,,0.0,0.4285,0.0
6707,Ede,,0.0,0.14327,0.0
6712,Ede,,0.0,0.11357,0.0
3894,Ede,,0.0,0.00212,0.0
6702,Ede,,0.0,0.43827,0.0
3906,Veenendaal,,0.0,0.0063,0.0
6733,Veenendaal,,0.0,0.30633,0.0
3892,Ede,,0.0,0.07298,0.0
3899,Ede,,0.0,3.06896,0.0
6706,Ede,,0.0,0.03812,0.0
3848,Ede,,0.0,0.06093,0.0
6709,Ede,,0.0,0.35358,0.0
6703,Ede,,0.0,0.01541,0.0
3821,Ede,,0.0,2.18617,0.0
3896,Ede,,0.0,1.11275,0.0
6705,Ede,,0.0,0.07449,0.0
3898,Ede,Industriegebied Nijkerk,1.0,0.22208,0.0
3847,Ede,,0.0,0.12671,0.0
6704,Ede,,0.0,0.03435,0.0
3815,Ede,,0.0,0.80671,0.0
3895,Ede,,0.0,0.0462,0.0
3829,Ede,,0.0,0.12896,0.0
3826,Ede,,0.0,0.09149,0.0
3772,Barneveld,,0.0,0.89619,0.0
3781,Barneveld,,0.0,1.2447,0.0
3776,Barneveld,,0.0,0.47457,0.0
3784,Barneveld,,0.0,0.22563,0.0
3785,Barneveld,,0.0,0.06514,0.0
3794,Barneveld,,0.0,0.07954,0.0
3775,Barneveld,,0.0,0.0337,0.0
3792,Barneveld,,0.0,0.00448,0.0
3861,Nijkerk,A12 Business Zone Ede,1.0,4.44587,36.15
3882,Rhenen,Remmerden Rhenen,1.0,1.71923,23.015999999999995
3851,Wageningen,Nudepark Wageningen,1.0,2.57472,14.715
3911,Rhenen,,0.0,1.53285,0.0
6741,Wageningen,,0.0,1.94129,0.0
3871,Nijkerk,,0.0,0.79175,0.0
3853,Wageningen,,0.0,0.40245,0.0
3852,Wageningen,,0.0,0.94996,0.0
3863,Nijkerk,,0.0,0.21801,0.0
3864,Nijkerk,,0.0,0.20798,0.0
6744,Rhenen,,0.0,0.90766,0.0
3886,Rhenen,,0.0,0.30818,0.0
6745,Rhenen,,0.0,0.10794,0.0
3912,Rhenen,,0.0,0.0,0.0
3937,Renswoude,,0.0,0.0,0.0
3727,Renswoude,,0.0,0.0,0.0
