PC4,municipality,solar_park_gwh,wind_gwh
3771,Barneveld,8.455,0.18
3901,Veenendaal,0.0,0.0
3903,Veenendaal,0.0,0.0
6718,Ede,0.0,0.0
6711,Ede,0.0,0.0
6717,Ede,0.0,0.0
3881,Ede,0.0,0.0
6721,Veenendaal,0.1335,0.0
6716,Ede,0.0,0.0
3904,Veenendaal,0.0,0.0
3841,Ede,0.0,0.0
6713,Ede,0.0,0.0
3902,Veenendaal,0.0,0.0
3846,Ede,0.0,0.0
6708,Ede,0.0,0.0
3844,Ede,0.0,0.0
6701,Ede,0.0,0.0
3891,Ede,0.0,0.0
6714,Ede,0.0,0.0
3842,Ede,0.0,0.0
6732,Veenendaal,0.0,0.0
3843,Ede,0.0,0.0
6715,Ede,0.0,0.0
3907,Veenendaal,0.0,0.0
3893,Ede,0.0,0.0
3849,Ede,0.0,0.0
6731,Veenendaal,0.0,0.0
6707,Ede,0.0,0.0
6712,Ede,0.0,0.0
3894,Ede,0.0,0.0
6702,Ede,0.0,0.0
3906,Veenendaal,0.0,0.0
6733,Veenendaal,0.0,0.0
3892,Ede,0.0,0.0
3899,Ede,0.0,0.0
6706,Ede,0.0,0.0
3848,Ede,0.0,0.0
6709,Ede,0.0,0.0
6703,Ede,0.0,0.0
3821,Ede,0.0,0.0
3896,Ede,0.0,0.0
6705,Ede,0.0,0.0
3898,Ede,0.0,0.0
3847,Ede,0.0,0.0
6704,Ede,0.0,0.0
3815,Ede,0.0,0.0
3895,Ede,0.0,0.0
3829,Ede,0.0,0.0
3826,Ede,0.0,0.0
3772,Barneveld,0.0,0.0
3781,Barneveld,0.0,0.0
3776,Barneveld,0.0,0.0
3784,Barneveld,0.0,0.0
3785,Barneveld,0.0,0.0
3794,Barneveld,0.0,0.0
3775,Barneveld,0.0,0.0
3792,Barneveld,0.0,0.0
3861,Nijkerk,0.6853,0.0
3882,Rhenen,0.0,0.0
3851,Wageningen,0.0,0.0
3911,Rhenen,0.0,0.0
6741,Wageningen,0.0,0.0675
3871,Nijkerk,0.0,0.0
3853,Wageningen,0.0,0.0
3852,Wageningen,0.0,0.0
3863,Nijkerk,0.0,0.0
3864,Nijkerk,0.0,0.0
6744,Rhenen,0.0,0.0
3886,Rhenen,0.0,0.0
6745,Rhenen,0.0,0.0
3912,Rhenen,0.0,0.0
3937,Renswoude,0.0,0.0
3727,Renswoude,0.0,0.0
