"AANSLUITINGEN_AANTAL	POSTCODE	POSTCODE_EIND	POSTCODE_AANTAL	PRODUCTSOORT	TYPE_AANSLUITING_MEEST_VOORKOMEND	TOT_E_INV	SJI GEMIDDELD"
"29	1011AA	1011AB	2	ELK	3x25	0	0.0"
"22	1011AC	1011AC	1	ELK	1x25	2491	113.22727272727273"
"19	1011AD	1011AG	3	ELK	1x35	0	0.0"
"21	1011AH	1011AH	1	ELK	1x25	0	0.0"
"17	1011AJ	1011AJ	1	ELK	1x35	0	0.0"
"15	1011AK	1011AM	3	ELK	3x25	0	0.0"
"21	1011AN	1011AN	1	ELK	1x35	0	0.0"
"14	1011AP	1011AP	1	ELK	1x35	0	0.0"
"25	1011AR	1011AR	1	ELK	1x35	0	0.0"
"19	1011AS	1011AT	2	ELK	3x25	0	0.0"
"15	1011AV	1011AV	1	ELK	3x25	0	0.0"
"18	1011AW	1011AW	1	ELK	1x25	0	0.0"
"14	1011AX	1011AX	1	ELK	3x25	0	0.0"
"21	1011AZ	1011AZ	1	ELK	1x35	0	0.0"
"13	1011BA	1011BB	2	ELK	3x25	1109	85.3076923076923"
"19	1011BC	1011BC	1	ELK	1x35	0	0.0"
"23	1011BD	1011BD	1	ELK	3x25	3118	135.56521739130434"
"20	1011BE	1011BG	2	ELK	3x25	2354	117.7"
"34	1011BH	1011BH	1	ELK	3x25	1882	55.35294117647059"
"20	1011BJ	1011BJ	1	ELK	3x25	6741	337.05"
"16	1011BK	1011BK	1	ELK	1x35	0	0.0"
"10	1011BL	1011BL	1	ELK	1x35	0	0.0"
"14	1011BM	1011BM	1	ELK	1x35	1164	83.14285714285714"
"15	1011BN	1011BN	1	ELK	3x25	0	0.0"
"19	1011BP	1011BP	1	ELK	3x25	0	0.0"
"16	1011BR	1011BR	1	ELK	1x35	0	0.0"
"27	1011BS	1011BS	1	ELK	3x25	1243	46.03703703703704"
"30	1011BT	1011BT	1	ELK	3x25	6601	220.03333333333333"
"18	1011BV	1011BV	1	ELK	3x25	258	14.333333333333334"
"33	1011BW	1011BW	1	ELK	1x25	4628	140.24242424242425"
"23	1011BX	1011BX	1	ELK	1x25	0	0.0"
"23	1011BZ	1011BZ	1	ELK	1x25	2049	89.08695652173913"
"21	1011CA	1011CA	1	ELK	1x35	0	0.0"
"21	1011CB	1011CB	1	ELK	1x35	0	0.0"
"18	1011CC	1011CC	1	ELK	1x35	0	0.0"
"18	1011CD	1011CD	1	ELK	1x25	1	0.05555555555555555"
"13	1011CE	1011CG	2	ELK	3x25	900	69.23076923076923"
"22	1011CH	1011CH	1	ELK	1x35	0	0.0"
"17	1011CJ	1011CJ	1	ELK	1x25	0	0.0"
"14	1011CK	1011CK	1	ELK	1x25	0	0.0"
"10	1011CL	1011CL	1	ELK	1x25	0	0.0"
