POSTCODE	POSTCODE_EIND	AANSLUITINGEN_AANTAL	PRODUCTSOORT	SJA_TOTAAL	SJA_GEMIDDELD	POSTCODE_AANTAL
1011AA	1011AB	28	ELK	215229	7686,75	2
1011AA	1011AB	11	GAS	63376	5761,45	2
1011AC	1011AC	22	ELK	362242	16465,55	1
1011AC	1011AC	17	GAS	69416	4083,29	1
1011AD	1011AG	18	ELK	241970	13442,78	3
1011AD	1011AH	25	GAS	60573	2422,92	3
1011AH	1011AH	21	ELK	42052	2002,48	1
1011AJ	1011AJ	17	ELK	134936	7937,41	1
1011AJ	1011AJ	14	GAS	17264	1233,14	1
1011AK	1011AM	15	ELK	195805	13053,67	3
1011AL	1011AN	28	GAS	57861	2066,46	3
1011AN	1011AN	20	ELK	56661	2833,05	1
1011AP	1011AP	14	ELK	104396	7456,86	1
1011AP	1011AP	13	GAS	50287	3868,23	1
1011AR	1011AR	24	ELK	125702	5237,58	1
1011AR	1011AR	19	GAS	24823	1306,47	1
1011AS	1011AT	19	ELK	152805	8042,37	2
1011AS	1011AT	11	GAS	62191	5653,73	2
1011AV	1011AV	15	ELK	45091	3006,07	1
1011AV	1011AV	11	GAS	19863	1805,73	1
1011AW	1011AW	18	ELK	53495	2971,94	1
1011AW	1011AW	12	GAS	10145	845,42	1
1011AX	1011AX	14	ELK	52538	3752,71	1
1011AX	1011AX	13	GAS	25536	1964,31	1
1011AZ	1011AZ	21	ELK	46506	2214,57	1
1011AZ	1011AZ	20	GAS	16266	813,30	1
1011BA	1011BB	13	ELK	32518	2501,38	2
1011BA	1011BB	11	GAS	13176	1197,82	2
1011BC	1011BC	18	ELK	62569	3476,06	1
1011BC	1011BC	15	GAS	23963	1597,53	1
1011BD	1011BD	23	ELK	80861	3515,70	1
1011BD	1011BD	17	GAS	25310	1488,82	1
1011BE	1011BG	20	ELK	79116	3955,80	2
1011BE	1011BG	13	GAS	23164	1781,85	2
1011BH	1011BH	34	ELK	88064	2590,12	1
1011BH	1011BH	31	GAS	44553	1437,19	1
1011BJ	1011BJ	20	ELK	88707	4435,35	1
1011BJ	1011BJ	15	GAS	39003	2600,20	1
1011BK	1011BK	16	ELK	33156	2072,25	1
1011BK	1011BK	13	GAS	15722	1209,38	1
1011BL	1011BL	10	ELK	17459	1745,90	1
1011BL	1011BM	22	GAS	23788	1081,27	2
1011BM	1011BM	14	ELK	19959	1425,64	1
1011BN	1011BN	15	ELK	25489	1699,27	1
1011BN	1011BN	13	GAS	16047	1234,38	1
1011BP	1011BP	19	ELK	47654	2508,11	1
1011BP	1011BP	17	GAS	27788	1634,59	1
1011BR	1011BR	14	ELK	32712	2336,57	1
1011BR	1011BR	10	GAS	11779	1177,90	1
1011BS	1011BS	27	ELK	67366	2495,04	1
1011BS	1011BS	22	GAS	35841	1629,14	1
1011BT	1011BT	30	ELK	50576	1685,87	1
1011BT	1011BT	27	GAS	28666	1061,70	1
1011BV	1011BV	18	ELK	45826	2545,89	1
1011BV	1011BV	16	GAS	20525	1282,81	1
1011BW	1011BW	34	ELK	75272	2213,88	1
1011BW	1011BW	28	GAS	21611	771,82	1
1011BX	1011BX	23	ELK	39922	1735,74	1
1011BX	1011BX	20	GAS	15816	790,80	1
1011BZ	1011BZ	23	ELK	94759	4119,96	1
1011BZ	1011BZ	23	GAS	27297	1186,83	1
1011CA	1011CA	21	ELK	32470	1546,19	1
1011CA	1011CA	19	GAS	23687	1246,68	1
1011CB	1011CB	21	ELK	41328	1968,00	1
1011CB	1011CB	16	GAS	16255	1015,94	1
1011CC	1011CC	17	ELK	31172	1833,65	1
1011CC	1011CC	15	GAS	20647	1376,47	1
1011CD	1011CD	18	ELK	34241	1902,28	1
1011CD	1011CD	15	GAS	15264	1017,60	1
1011CE	1011CG	13	ELK	29708	2285,23	2
1011CE	1011CG	13	GAS	17231	1325,46	2
1011CH	1011CH	22	ELK	142652	6484,18	1
1011CH	1011CH	20	GAS	33004	1650,20	1
1011CJ	1011CJ	17	ELK	77253	4544,29	1
1011CJ	1011CJ	16	GAS	12248	765,50	1
1011CK	1011CK	14	ELK	20409	1457,79	1
1011CK	1011CK	12	GAS	14548	1212,33	1
1011CL	1011CL	10	ELK	32174	3217,40	1
1011CL	1011CM	59	GAS	63247	1071,98	2
1011CM	1011CM	61	ELK	105429	1728,34	1
1011CN	1011CN	13	ELK	28556	2196,62	1
1011CN	1011CP	13	GAS	20673	1590,23	2
1011CP	1011CR	24	ELK	51743	2155,96	2
1011CR	1011CR	15	GAS	19668	1311,20	1
1011CS	1011CS	27	ELK	44891	1662,63	1
1011CS	1011CS	23	GAS	21443	932,30	1
1011CT	1011CT	16	ELK	37574	2348,38	1
1011CT	1011CT	16	GAS	14172	885,75	1
1011CV	1011CV	16	ELK	42226	2639,13	1
1011CV	1011CV	14	GAS	12270	876,43	1
1011CW	1011CW	14	ELK	28070	2005,00	1
1011CW	1011CW	13	GAS	12042	926,31	1
1011CX	1011CX	19	ELK	45205	2379,21	1
1011CX	1011CX	16	GAS	11720	732,50	1
1011CZ	1011CZ	19	ELK	33992	1789,05	1
1011CZ	1011CZ	17	GAS	17239	1014,06	1
1011DB	1011DB	10	ELK	44670	4467,00	1
1011DB	1011DC	10	GAS	30845	3084,50	2
1011DC	1011DD	123	ELK	561452	4564,65	2
1011DD	1011DD	96	GAS	56810	591,77	1
1011DE	1011DE	42	ELK	133295	3173,69	1
1011DG	1011DG	86	ELK	244638	2844,63	1
1011DK	1011DL	64	ELK	330222	5159,72	2
1011DL	1011EA	42	GAS	89124	2122,00	3
1011DZ	1011EA	44	ELK	126465	2874,20	2
1011EB	1011EB	25	ELK	33245	1329,80	1
